name,color,species,wingspan,wingshape,openedWingColor,closedWingColor
American Copper,orange,Gossamer Wings,"Small (3/4"" - 1 3/4"")",,orange,grey
American Lady,orange,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",,orange,brown
American Snout,grey,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",,,grey
Anise Swallowtail,yellow,Swallowtails & Parnassians,"Medium (1 3/4"" - 3 3/4"")",Swallowtails,yellow,yellow
Atala,black,Gossamer Wings,"Medium (1 3/4"" - 3 3/4"")",,,black
Baltimore Checkerspot,black,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",,black,
Banded Hairstreak,grey,Gossamer Wings,"Small (3/4"" - 1 3/4"")",,,grey
Black Swallowtail,black,Swallowtails & Parnassians,"Large (3 3/4"" - 6 1/2"")",Swallowtails,black,black
Bordered Patch,black,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",,,black
Bronze Copper,grey,Gossamer Wings,"Medium (1 3/4"" - 3 3/4"")",,,grey
Cabbage White,white,Whites & Sulphurs,"Medium (1 3/4"" - 3 3/4"")",Whites & Sulphurs,white,
California Sister,blue,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",,,blue
Carolina Satyr,grey,Brush-footed Butterflies,"Small (3/4"" - 1 3/4"")",,,grey
Chalcedon Checkerspot,red,Brush-footed Butterflies,"Small (3/4"" - 1 3/4"")",,,red
Checkered White,white,Whites & Sulphurs,"Medium (1 3/4"" - 3 3/4"")",Whites & Sulphurs,white,white
Clouded Sulphur,orange,Whites & Sulphurs,"Medium (1 3/4"" - 3 3/4"")",Whites & Sulphurs,,orange
Common Alpine,brown,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",,brown,
Common Buckeye,brown,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",,brown,brown
Common Checkered-Skipper,blue,Skippers,"Small (3/4"" - 1 3/4"")",,blue,
Common Ringlet,grey,Brush-footed Butterflies,"Small (3/4"" - 1 3/4"")",,,grey
Common Sootywing,black,Skippers,"Small (3/4"" - 1 3/4"")",,,black
Common Wood-Nymph,brown,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",,,brown
Crossline Skipper,brown,Skippers,"Small (3/4"" - 1 3/4"")",,,brown
Delaware Skipper,copper,Skippers,"Small (3/4"" - 1 3/4"")",,,copper
Desert Cloudywing,black,Skippers,"Medium (1 3/4"" - 3 3/4"")",,,black
Dotted Roadside-Skipper,brown,Skippers,"Small (3/4"" - 1 3/4"")",,,brown
Dreamy Duskywing,brown,Skippers,"Small (3/4"" - 1 3/4"")",,brown,
Eastern Comma,orange,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",,orange,brown
Eastern Tailed-Blue,blue,Gossamer Wings,"Small (3/4"" - 1 3/4"")",,blue,grey
Eastern Tiger Swallowtail,yellow,Swallowtails & Parnassians,"Large (3 3/4"" - 6 1/2"")",Swallowtails,yellow,yellow
Falcate Orangetip,white,Whites & Sulphurs,"Small (3/4"" - 1 3/4"")",,,white
Fiery Skipper,copper,Skippers,"Small (3/4"" - 1 3/4"")",,copper,copper
Giant Swallowtail,black,Swallowtails & Parnassians,"Large (3 3/4"" - 6 1/2"")",Swallowtails,black,yellow
Golden-headed Scallopwing,brown,Skippers,"Small (3/4"" - 1 3/4"")",,brown,
Gray Hairstreak,blue,Gossamer Wings,"Small (3/4"" - 1 3/4"")",,blue,grey
Great Basin Wood Nymph,brown,Brush-footed Butterflies,"Small (3/4"" - 1 3/4"")",,,brown
Great Southern White,white,Whites & Sulphurs,"Medium (1 3/4"" - 3 3/4"")",Whites & Sulphurs,,white
Great Spangled Fritillary,copper,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",Fritillaries,copper,brown
Gulf Fritillary,copper,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",Fritillaries,,copper
Hackberry Emperor,brown,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",,brown,grey
Hoary Edge,brown,Skippers,"Medium (1 3/4"" - 3 3/4"")",,,brown
Horace's Duskywing,brown,Skippers,"Small (3/4"" - 1 3/4"")",,brown,brown
Julia Heliconian,orange,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",Longwings,orange,orange
Least Skipper,copper,Skippers,"Small (3/4"" - 1 3/4"")",,copper,copper
Little Glassywing,brown,Skippers,"Small (3/4"" - 1 3/4"")",,brown,brown
Little Wood Satyr,brown,Brush-footed Butterflies,"Small (3/4"" - 1 3/4"")",,brown,brown
Lorquin Admiral,black,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",,black,brown
Malachite,green,Brush-footed Butterflies,"Large (3 3/4"" - 6 1/2"")",,,green
Milbert's Tortoiseshell,brown,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",,brown,
Monarch,orange,Brush-footed Butterflies,"Large (3 3/4"" - 6 1/2"")",Milkweed,orange,orange
Mourning Cloak,brown,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",,brown,brown
Northern Broken Dash,copper,Skippers,"Small (3/4"" - 1 3/4"")",,copper,brown
Northern Pearly-eye,brown,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",,,brown
Orange Sulphur,yellow,Whites & Sulphurs,"Medium (1 3/4"" - 3 3/4"")",,,yellow
Orange-barred Sulphur,yellow,Whites & Sulphurs,"Medium (1 3/4"" - 3 3/4"")",,yellow,yellow
Painted Lady,red,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",,red,grey
Pearl Crescent,orange,Brush-footed Butterflies,"Small (3/4"" - 1 3/4"")",,orange,brown
Peck's Skipper,brown,Skippers,"Small (3/4"" - 1 3/4"")",,,brown
Pipevine Swallowtail,blue,Swallowtails & Parnassians,"Large (3 3/4"" - 6 1/2"")",Swallowtails,blue,blue
Queen,orange,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",Milkweed,orange,orange
Question Mark,copper,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",,copper,brown
Reakirt's Blue,blue,Gossamer Wings,"Small (3/4"" - 1 3/4"")",,blue,brown
Red Admiral,black,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",,black,grey
Red-banded Hairstreak,grey,Gossamer Wings,"Small (3/4"" - 1 3/4"")",,,grey
Red-spotted Purple,purple,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",,purple,purple
Sachem,copper,Skippers,"Small (3/4"" - 1 3/4"")",,copper,brown
Silver-spotted Skipper,brown,Skippers,"Medium (1 3/4"" - 3 3/4"")",,brown,brown
Silvery Checkerspot,orange,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",,orange,copper
Sleepy Orange,yellow,Whites & Sulphurs,"Medium (1 3/4"" - 3 3/4"")",Whites & Sulphurs,yellow,yellow
Southern Cloudywing,brown,Skippers,"Small (3/4"" - 1 3/4"")",,brown,brown
Spicebush Swallowtail,black,Swallowtails & Parnassians,"Large (3 3/4"" - 6 1/2"")",Swallowtails,black,black
Spring Azure,brown,Gossamer Wings,"Small (3/4"" - 1 3/4"")",,,brown
Summer Azure,blue,Gossamer Wings,"Small (3/4"" - 1 3/4"")",,blue,grey
Tawny Emperor,orange,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",,orange,copper
Tawny-edge Skipper,brown,Skippers,"Small (3/4"" - 1 3/4"")",,brown,brown
Two-tailed Swallowtail,yellow,Swallowtails & Parnassians,"Large (3 3/4"" - 6 1/2"")",Swallowtails,yellow,
Variegated Fritillary,copper,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",Fritillaries,copper,copper
Viceroy,orange,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",Milkweed,orange,orange
West Coast Lady,copper,Brush-footed Butterflies,"Medium (1 3/4"" - 3 3/4"")",,copper,
